type,cycles
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,36
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,36
cached,36
cached,72
cached,72
cached,36
cached,36
cached,72
cached,72
cached,72
cached,36
cached,36
cached,72
cached,72
cached,36
cached,36
cached,72
cached,36
cached,36
cached,72
cached,36
cached,36
cached,36
cached,72
cached,72
cached,36
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,36
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
uncached,360
uncached,324
uncached,360
uncached,288
uncached,360
uncached,360
uncached,324
uncached,324
uncached,288
uncached,1440
uncached,288
uncached,432
uncached,288
uncached,288
uncached,288
uncached,324
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,324
uncached,288
uncached,288
uncached,288
uncached,288
uncached,288
uncached,324
uncached,324
uncached,288
uncached,324
uncached,288
uncached,324
uncached,288
uncached,288
uncached,288
uncached,936
uncached,288
uncached,324
uncached,288
uncached,288
uncached,288
uncached,432
uncached,396
uncached,288
uncached,288
uncached,396
uncached,288
uncached,324
uncached,288
uncached,324
uncached,288
uncached,324
uncached,324
uncached,288
uncached,360
uncached,432
uncached,288
uncached,288
uncached,324
uncached,288
uncached,288
uncached,324
uncached,288
uncached,864
uncached,288
uncached,288
uncached,324
uncached,288
uncached,360
uncached,288
uncached,288
uncached,288
uncached,324
uncached,324
uncached,324
uncached,288
uncached,324
uncached,288
uncached,288
uncached,288
uncached,324
uncached,288
uncached,288
uncached,288
uncached,288
uncached,324
uncached,324
uncached,288
uncached,324
uncached,504
uncached,288
uncached,1044
uncached,360
uncached,288
uncached,288
uncached,288
uncached,288
uncached,360
