type,cycles
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,108
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,108
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,288
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,108
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,108
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,36
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,36
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,36
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,36
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,36
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,36
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,36
cached,72
cached,36
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,36
cached,36
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,36
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,72
cached,36
uncached,288
uncached,324
uncached,324
uncached,324
uncached,288
uncached,324
uncached,324
uncached,324
uncached,288
uncached,324
uncached,324
uncached,324
uncached,324
uncached,288
uncached,288
uncached,324
uncached,324
uncached,288
uncached,324
uncached,324
uncached,324
uncached,360
uncached,972
uncached,360
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,288
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,288
uncached,324
uncached,324
uncached,324
uncached,324
uncached,288
uncached,396
uncached,324
uncached,288
uncached,288
uncached,324
uncached,324
uncached,288
uncached,324
uncached,1548
uncached,324
uncached,324
uncached,504
uncached,288
uncached,324
uncached,288
uncached,360
uncached,360
uncached,288
uncached,324
uncached,288
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,288
uncached,324
uncached,360
uncached,288
uncached,324
uncached,324
uncached,324
uncached,288
uncached,324
uncached,288
uncached,324
uncached,324
uncached,324
uncached,324
uncached,1332
uncached,360
uncached,324
uncached,288
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,288
uncached,324
uncached,288
uncached,324
uncached,360
uncached,288
uncached,396
uncached,324
uncached,468
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,288
uncached,1296
uncached,504
uncached,324
uncached,288
uncached,360
uncached,288
uncached,324
uncached,324
uncached,324
uncached,324
uncached,324
uncached,432
uncached,324
uncached,324
uncached,288
uncached,396
uncached,324
uncached,288
uncached,360
uncached,324
uncached,324
uncached,324
uncached,288
uncached,324
uncached,324
uncached,288
uncached,324
uncached,324
uncached,324
uncached,324
uncached,288
uncached,1116
uncached,360
uncached,360
uncached,324
uncached,324
uncached,468
uncached,324
uncached,324
uncached,324
uncached,360
uncached,288
uncached,324
uncached,324
uncached,432
uncached,468
uncached,324
uncached,324
uncached,360
uncached,324
uncached,324
uncached,324
uncached,324
uncached,288
uncached,360
uncached,324
uncached,324
uncached,288
uncached,324
uncached,324
